"medcodeid"	"term"
"1409014"	"benign hypertensive renal disease"
"30043012"	"mechanical complication of dialysis catheter"
"35171019"	"chronic glomerulonephritis"
"64282015"	"hypertensive renal disease"
"81307015"	"congenital nephrotic syndrome"
"86957016"	"nephrotic syndrome"
"108730018"	"malignant hypertensive renal disease"
"109700019"	"benign hypertensive heart and renal disease"
"110659019"	"malignant hypertensive heart and renal disease"
"117168016"	"renal transplant"
"118218017"	"peritoneal dialysis"
"136885015"	"congenital cystic disease of kidney"
"143003017"	"hypertensive heart and renal disease"
"170418016"	"acquired renal cystic disease"
"251923016"	"h/o: kidney recipient"
"251956015"	"h/o: kidney dialysis"
"251957012"	"h/o: renal dialysis"
"261136015"	"peritoneal dialysis sample"
"272320011"	"allotransplantation of kidney from live donor"
"272325018"	"cadaveric renal transplant"
"272326017"	"other specified transplantation of kidney"
"272327014"	"transplantation of kidney nos"
"272389014"	"exploration of renal transplant"
"278832011"	"haemodialysis"
"278834012"	"other specified compensation for renal failure"
"278835013"	"compensation for renal failure nos"
"278844014"	"insertion of temporary peritoneal dialysis catheter"
"282526013"	"intestinal dialysis"
"284213011"	"renal transplant planned"
"290737016"	"dependence on renal dialysis"
"293759015"	"diabetic renal disease"
"299665018"	"hypertensive renal disease with renal failure"
"299673010"	"hypertensive heart and renal disease with renal failure"
"299675015"	"hypertensive heart and renal disease nos"
"303806010"	"nephritis, nephrosis and nephrotic syndrome"
"303825013"	"nephrotic syndrome with proliferative glomerulonephritis"
"303826014"	"nephrotic syndrome with membranous glomerulonephritis"
"303832016"	"nephrotic syndrome, minor glomerular abnormality"
"303833014"	"nephrotic syndrome, focal and segmental glomerular lesions"
"303834015"	"nephrotic syndrome, diffuse membranous glomerulonephritis"
"303838017"	"nephrotic syndrome, dense deposit disease"
"303839013"	"nephrotic syndrome, diffuse crescentic glomerulonephritis"
"303843012"	"congenital nephrotic syndrome nos"
"303844018"	"nephrotic syndrome in diseases ec"
"303845017"	"nephrotic syndrome in amyloidosis"
"303846016"	"nephrotic syndrome in diabetes mellitus"
"303848015"	"nephrotic syndrome in malaria"
"303849011"	"nephrotic syndrome in polyarteritis nodosa"
"303853013"	"nephrotic syndrome associated with another disorder"
"303854019"	"nephrotic syndrome with other pathological kidney lesions"
"303855018"	"nephrotic syndrome nos"
"303864011"	"other chronic glomerulonephritis"
"303868014"	"chronic diffuse glomerulonephritis"
"303869018"	"other chronic glomerulonephritis nos"
"303870017"	"chronic glomerulonephritis nos"
"303915016"	"other acute renal failure"
"303916015"	"acute renal failure nos"
"303943013"	"impaired renal function disorder"
"303949012"	"other impaired renal function disorder"
"303951011"	"renal function impairment with growth failure"
"303960015"	"impaired renal function disorder nos"
"304042010"	"renal tubulo-interstitial disorders in metabolic diseases"
"304056012"	"other specified nephritis, nephrosis or nephrotic syndrome"
"304058013"	"nephritis, nephrosis and nephrotic syndrome nos"
"305178011"	"[x]other specified renal tubulo-interstitial diseases"
"305191012"	"[x]other acute renal failure"
"305192017"	"[x]other chronic renal failure"
"305328015"	"incomplete spontaneous abortion with renal failure"
"305343018"	"complete spontaneous abortion with renal failure"
"305407013"	"incomplete legal abortion with renal failure"
"305428016"	"complete legal abortion with renal failure"
"305447018"	"unspecified illegal abortion with renal failure"
"305460012"	"incomplete illegal abortion with renal failure"
"305473011"	"complete illegal abortion with renal failure"
"305491018"	"unspecified abortion with renal failure"
"305530017"	"failed attempted abortion with renal failure"
"307550017"	"post-delivery acute renal failure unspecified"
"307552013"	"post-delivery acute renal failure with postnatal problem"
"307553015"	"post-delivery acute renal failure nos"
"314302019"	"congenital cystic kidney disease"
"314306016"	"other congenital cystic kidney disease nos"
"314307013"	"congenital cystic kidney disease nos"
"315750010"	"cystic kidney disease"
"324973015"	"kidney transplant failure and rejection"
"329081019"	"foreign object left in body during kidney dialysis"
"329116017"	"failure of sterile precautions during kidney dialysis"
"353974015"	"xenograft renal transplant"
"354317019"	"kidney disease"
"354340015"	"congenital nephrotic syndrome with focal glomerulosclerosis"
"354406016"	"renal impairment"
"354407013"	"impaired renal function"
"354409011"	"chronic renal impairment"
"354413016"	"acute drug-induced renal failure"
"354417015"	"acute-on-chronic renal failure"
"354486019"	"renal tubule insufficiency with biliary malformation"
"354505015"	"renal disorders in systemic disease"
"354521013"	"renal involvement in malignant disease"
"354537019"	"chronic drug-induced renal disease"
"354591016"	"bloodstained peritoneal dialysis effluent"
"354610013"	"renal transplant rejection"
"354612017"	"accelerated rejection of renal transplant"
"354613010"	"very mild acute rejection of renal transplant"
"354615015"	"acute rejection of renal transplant"
"354616019"	"acute rejection of renal transplant - grade i"
"354617011"	"acute rejection of renal transplant - grade ii"
"354618018"	"acute rejection of renal transplant - grade iii"
"354619014"	"chronic rejection of renal transplant"
"354623018"	"chronic rejection of renal transplant - grade 1"
"354624012"	"chronic rejection of renal transplant - grade ii"
"354627017"	"chronic rejection of renal transplant - grade iii"
"354628010"	"acute-on-chronic rejection of renal transplant"
"356557018"	"renal failure-associated hyperphosphataemia"
"357219012"	"continuous ambulatory peritoneal dialysis"
"359372019"	"gout due to impairment of renal function"
"377976016"	"cystic disease of kidney"
"394639018"	"compensation for renal failure"
"394640016"	"renal dialysis"
"395753015"	"hypertensive renal disease nos"
"396706011"	"nephrotic syndrome with minimal change glomerulonephritis"
"396711013"	"rf - renal failure"
"396713011"	"other impaired renal function disorder nos"
"400870015"	"polycystic kidney disease nos"
"400871016"	"fibrocystic kidney disease"
"402249011"	"congenital renal failure"
"403109016"	"renal failure as a complication of care"
"403110014"	"kidney failure as a complication of care"
"411547015"	"h/o: kidney disease"
"413415016"	"unexplained episode of renal transplant dysfunction"
"422992018"	"excision of rejected transplanted kidney"
"453312018"	"peritoneal dialysis-associated peritonitis"
"454255014"	"anaemia secondary to renal failure"
"460644012"	"history of renal transplant"
"460680012"	"dialysis finding"
"460910019"	"[v]aftercare involving intermittent dialysis"
"460911015"	"[v]aftercare involving extracorporeal dialysis"
"460912010"	"[v]preparatory care for dialysis"
"460913017"	"[v]other specified aftercare involving intermittent dialysis"
"460914011"	"[v]unspecified aftercare involving intermittent dialysis"
"461420012"	"dialysis procedure"
"477999016"	"renal vascular disease"
"481692010"	"acute renal failure due to rhabdomyolysis"
"483965010"	"autosomal dominant polycystic kidney disease"
"501594013"	"transplantation of kidney"
"505126019"	"polycystic kidney disease"
"507483018"	"dialysis disequilibrium"
"507993019"	"acute hypercalcaemia of dialysis"
"509108014"	"chronic uraemia"
"509111010"	"chronic renal failure"
"1221119015"	"arf - acute renal failure"
"1226060014"	"autosomal recessive polycystic kidney disease"
"1227722017"	"[v]aftercare involving renal dialysis nos"
"1227723010"	"[v]aftercare involving peritoneal dialysis"
"2474415018"	"dialysis fluid examination"
"2474453011"	"peritoneal dialysis fluid cell count"
"2645796013"	"acute renal failure due to ace inhibitor"
"2645965011"	"stenosis of arteriovenous dialysis fistula"
"2674486017"	"extracorporeal albumin haemodialysis"
"2675886019"	"creation of graft fistula for dialysis"
"2692168016"	"automated peritoneal dialysis"
"2767154014"	"chronic kidney disease stage 5"
"2767383018"	"chronic kidney disease stage 1"
"2767384012"	"chronic kidney disease stage 2"
"2767385013"	"chronic kidney disease stage 4"
"2771041011"	"chronic kidney disease"
"2773184015"	"chronic kidney disease stage 3"
"3525758015"	"insertion of tunneled hemodialysis catheter"
"3525759011"	"insertion of tunnelled haemodialysis catheter"
"3527814014"	"chronic kidney disease clinical management plan"
"3528309015"	"mckd - multicystic kidney disease"
"90461000006118"	"transplantation of kidney from cadaver"
"90471000006113"	"live donor renal transplant"
"106291000006118"	"thomas intravascular shunt for dialysis"
"127091000006118"	"steroid-sensitive nephrotic syndrome"
"176321000006119"	"renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism"
"176711000006111"	"renal dialysis with complication, without blame"
"176741000006110"	"renal failure after crushing"
"176771000006119"	"renal failure following crush syndrome"
"177251000006119"	"renal transplant with complication, without blame"
"177311000006112"	"renal tubulo-interstitial disorders in neoplastic diseases"
"177321000006116"	"renal tubulo-interstitial disorders in diseases ec"
"177341000006111"	"renal tubulo-interstitial disorders in transplant rejection"
"181021000006119"	"removal of ambulatory peritoneal dialysis catheter"
"215521000000116"	"end stage renal disease"
"216921000006111"	"post-delivery acute renal failure - delivered with p/n prob"
"218351000000112"	"post operative renal failure"
"228101000006113"	"placement ambulatory apparatus compensation renal failure"
"228111000006111"	"placement ambulatory apparatus- compensate renal failure nos"
"228121000006115"	"placement ambulatory apparatus- compensate renal failure os"
"228131000006117"	"placement ambulatory dialysis apparatus - compens renal fail"
"228211000006117"	"placement other apparatus for compensation for renal failure"
"228221000006113"	"placement other apparatus- compensate for renal failure nos"
"228231000006111"	"placement other apparatus- compensate for renal failure os"
"304031000000117"	"chronic kidney disease stage 1"
"304051000000112"	"chronic kidney disease stage 2"
"304071000000115"	"chronic kidney disease stage 3"
"304091000000116"	"chronic kidney disease stage 4"
