"medcode"	"term"
"350"	"renal failure unspecified"
"512"	"chronic renal failure"
"1803"	"nephrotic syndrome with membranous glomerulonephritis"
"2266"	"acute renal failure"
"2471"	"nephrotic syndrome in diabetes mellitus"
"2773"	"nephritis, nephrosis and nephrotic syndrome"
"2991"	"kidney and ureter disease nos"
"2994"	"peritoneal dialysis"
"2996"	"haemodialysis nec"
"2997"	"transplantation of kidney"
"2999"	"nephrotic syndrome"
"4503"	"polycystic kidney disease"
"4668"	"hypertensive renal disease"
"5504"	"transplantation of kidney nos"
"5911"	"[v]kidney transplanted"
"6712"	"end stage renal failure"
"6774"	"h/o: kidney disease"
"6842"	"impaired renal function"
"7804"	"chronic glomerulonephritis"
"8037"	"insertion of ambulatory peritoneal dialysis catheter"
"8330"	"end-stage renal disease"
"8919"	"impaired renal function disorder"
"9240"	"cystic kidney disease nec"
"9840"	"nephrotic syndrome with proliferative glomerulonephritis"
"9959"	"h/o: renal disease"
"10081"	"chronic uraemia"
"11553"	"kidney transplant failure and rejection"
"11554"	"renal failure as a complication of care"
"11745"	"transplantation of kidney from live donor"
"11773"	"dialysis for renal failure"
"11787"	"renal impairment"
"12479"	"chronic kidney disease stage 4"
"12566"	"chronic kidney disease stage 3"
"12585"	"chronic kidney disease stage 5"
"12586"	"chronic kidney disease stage 2"
"12720"	"chronic renal impairment"
"12860"	"except chronic kidney disease qual indic: patient unsuitable"
"15097"	"chronic glomerulonephritis nos"
"15106"	"hypertensive renal disease nos"
"15780"	"nephritis, nephrosis and nephrotic syndrome nos"
"15917"	"congenital cystic kidney disease"
"15945"	"renal failure following crush syndrome"
"16929"	"anaemia secondary to renal failure"
"17253"	"renal transplant planned"
"17365"	"nephrotic syndrome, diffuse crescentic glomerulonephritis"
"18774"	"renal transplant with complication, without blame"
"19316"	"nephrotic syndrome, diffuse membranous glomerulonephritis"
"19473"	"chronic kidney disease monitoring"
"20073"	"renal dialysis"
"20196"	"h/o: renal dialysis"
"20629"	"congenital cystic renal disease"
"21687"	"gout due to impairment of renal function"
"21837"	"hypertensive heart&renal dis wth (congestive) heart failure"
"22252"	"[v]renal dialysis status"
"22852"	"nephrotic syndrome, focal and segmental glomerular lesions"
"23773"	"removal of ambulatory peritoneal dialysis catheter"
"23913"	"nephrotic syndrome, minor glomerular abnormality"
"24292"	"post operative renal failure"
"24361"	"transplantation of kidney from cadaver"
"24676"	"acute renal failure due to rhabdomyolysis"
"25394"	"anaemia secondary to chronic renal failure"
"25582"	"acute renal failure nos"
"25980"	"impaired renal function disorder nos"
"26862"	"exploration of renal transplant"
"27427"	"nephrotic syndrome nos"
"28158"	"kidney dialysis with complication, without blame"
"28684"	"hypertensive heart and renal disease with renal failure"
"29013"	"chronic kidney disease stage 1"
"29634"	"nephrotic syndrome with minimal change glomerulonephritis"
"30709"	"insertion of temporary peritoneal dialysis catheter"
"30735"	"chronic kidney disease annual review"
"30739"	"chronic kidney disease monitoring first letter"
"30756"	"continuous ambulatory peritoneal dialysis"
"31549"	"compensation for renal failure"
"32423"	"hypertensive renal disease with renal failure"
"35235"	"other acute renal failure"
"36442"	"placement ambulatory dialysis apparatus - compens renal fail"
"39598"	"kidney failure as a complication of care"
"39649"	"malignant hypertensive renal disease"
"39840"	"other impaired renal function disorder"
"40100"	"exc chronic kidney disease quality indicators: inform dissen"
"41013"	"renal function impairment with growth failure"
"43935"	"benign hypertensive renal disease"
"44422"	"h/o: kidney dialysis"
"45160"	"[v]aftercare involving peritoneal dialysis"
"45523"	"renal tubulo-interstitial disorders in diseases ec"
"46145"	"[v]aftercare involving renal dialysis nos"
"46438"	"[x] peritoneal dialysis associated peritonitis"
"46626"	"exception reporting: chronic kidney disease quality indicato"
"47342"	"congenital renal failure"
"47672"	"nephrotic syndrome in systemic lupus erythematosus"
"47922"	"nephrotic syndrome in amyloidosis"
"48022"	"other specified compensation for renal failure"
"48057"	"renal tubulo-interstitial disordrs in transplant rejectn"
"48639"	"mechanical complication of dialysis catheter"
"49028"	"h/o: kidney recipient"
"49150"	"other specified nephritis, nephrosis or nephrotic syndrome"
"50331"	"congenital cystic kidney disease nos"
"50804"	"other impaired renal function disorder nos"
"52088"	"[v]preparatory care for dialysis"
"52123"	"intestinal dialysis"
"53852"	"end stage renal failure"
"53940"	"[x]other chronic renal failure"
"53945"	"[x]other acute renal failure"
"54844"	"[x]failure sterile precautions dur kidney dialys/other perf"
"54990"	"kidney transplant with complication, without blame"
"55151"	"autotransplant of kidney"
"55233"	"polycystic kidney disease counselling"
"56760"	"placement ambulatory apparatus compensation renal failure"
"56852"	"polycystic kidney disease nos"
"56987"	"nephrotic syndrome, dense deposit disease"
"57919"	"acute drug-induced renal failure"
"57926"	"steroid sensitive nephrotic syndrome"
"58750"	"nephrotic syndrome in polyarteritis nodosa"
"59018"	"other specified congenital cystic kidney disease"
"59031"	"other congenital cystic kidney disease nos"
"59194"	"placement ambulatory apparatus- compensate renal failure os"
"59315"	"stenosis of arteriovenous dialysis fistula"
"60302"	"creation of graft fistula for dialysis"
"60446"	"care of haemodialysis equipment"
"60498"	"reversing haemodialysis lines"
"60743"	"[v]aftercare involving intermittent dialysis"
"60960"	"other chronic glomerulonephritis"
"61930"	"[x]renal failure"
"63000"	"benign hypertensive heart and renal disease"
"63038"	"[v]unspecified aftercare involving intermittent dialysis"
"63277"	"acute renal failure following labour and delivery"
"63466"	"hypertensive heart and renal disease"
"63488"	"[v]other specified aftercare involving intermittent dialysis"
"63502"	"peritoneal dialysis bag procedure"
"63615"	"other chronic glomerulonephritis nos"
"63760"	"renal failure after crushing"
"63786"	"congenital nephrotic syndrome"
"64622"	"renal tubulo-interstitial disorder/ neoplastic diseases"
"64636"	"compensation for renal failure nos"
"64828"	"peritoneal dialysis nec"
"65089"	"placement other apparatus- compensate for renal failure nos"
"65400"	"chronic diffuse glomerulonephritis"
"66705"	"allotransplantation of kidney from live donor"
"66714"	"renal dialysis with complication, without blame"
"67232"	"malignant hypertensive heart and renal disease"
"67486"	"fibrocystic kidney disease"
"68659"	"hypertensive heart and renal disease nos"
"69266"	"failure of sterile precautions during kidney dialysis"
"69433"	"post-delivery acute renal failure with postnatal problem"
"69679"	"chronic kidney disease monitoring telephone invite"
"69760"	"[x]other dialysis"
"70874"	"other specified transplantation of kidney"
"71271"	"chronic kidney disease monitoring administration"
"72004"	"excision of rejected transplanted kidney"
"72336"	"priming haemodialysis lines"
"72458"	"post-delivery acute renal failure unspecified"
"72877"	"[x]other cystic kidney diseases"
"72962"	"chronic kidney disease monitoring second letter"
"72964"	"chronic kidney disease monitoring third letter"
"73373"	"fetus or neonate affected by maternal renal/urinary disease"
"74905"	"haemodialysis training"
"83513"	"placement other apparatus for compensation for renal failure"
"88494"	"chronic kidney disease monitoring verbal invite"
"88597"	"automated peritoneal dialysis"
"89332"	"predicted stage chronic kidney disease"
"89924"	"allotransplantation of kidney from cadaver, heart-beating"
"90952"	"pre-transplantation of kidney work-up, recipient"
"93366"	"interventions associated with transplantation of kidney"
"94373"	"nephrotic syndrome with other pathological kidney lesions"
"94789"	"chronic kidney disease stage 1 with proteinuria"
"94793"	"chronic kidney disease stage 3 with proteinuria"
"94842"	"[x]renal tubulo-interstitial diseases"
"94964"	"post-transplantation of kidney examination, live donor"
"94965"	"chronic kidney disease stage 3a"
"95121"	"chronic kidney disease stage 2 without proteinuria"
"95122"	"chronic kidney disease stage 4 with proteinuria"
"95123"	"chronic kidney disease stage 3 without proteinuria"
"95145"	"ckd stage 3 with proteinuria"
"95146"	"chronic kidney disease stage 2 with proteinuria"
"95175"	"chronic kidney disease stage 3a without proteinuria"
"95176"	"ckd stage 3a without proteinuria"
