"","medcodeid","term"
"1","294919015","acute hysterical psychosis"
"2","460273017","[v]personal history of schizophrenia"
"3","3527206014","secondary psychotic syndrome with hallucinations and delusions"
"4","362221000006114","[x]acute / subacute infective psychosis"
"5","362781000006116","[x]affective psychosis nos"
"6","389451000006110","[x]hysterical psychosis"
"7","428441000006116","[x]symbiotic psychosis"
"8","1807561000006117","psychotic symptom"
"9","1821481000006114","possible early psychosis"
"10","1821491000006112","possible psychosis prodrome"
"11","1974351000006118","paranoid schizophrenia, continuous"
"12","1974391000006112","paranoid schizophrenia, episodic with progressive deficit"
"13","1974431000006118","paranoid schizophrenia, episodic with stable deficit"
"14","1974451000006113","paranoid schizophrenia, episodic remittent"
"15","1974481000006117","paranoid schizophrenia, incomplete remission"
"16","1974511000006113","paranoid schizophrenia, complete remission"
"17","1974541000006112","paranoid schizophrenia, course uncertain, period of observation too short"
"18","1974601000006111","hebephrenic schizophrenia, continuous"
"19","1974611000006114","hebephrenic schizophrenia, episodic with progressive deficit"
"20","1974621000006118","hebephrenic schizophrenia, episodic with stable deficit"
"21","1974641000006113","hebephrenic schizophrenia, episodic remittent"
"22","1974671000006117","hebephrenic schizophrenia, incomplete remission"
"23","1974691000006116","hebephrenic schizophrenia, complete remission"
"24","1974721000006114","hebephrenic schizophrenia, course uncertain, period of observation too short"
"25","1974751000006117","catatonic schizophrenia, continuous"
"26","1974781000006113","catatonic schizophrenia, episodic with progressive deficit"
"27","1974801000006112","catatonic schizophrenia, episodic with stable deficit"
"28","1974831000006116","catatonic schizophrenia, episodic remittent"
"29","1974861000006113","catatonic schizophrenia, incomplete remission"
"30","1974891000006117","catatonic schizophrenia, complete remission"
"31","1974921000006111","catatonic schizophrenia, course uncertain, period of observation too short"
"32","1974951000006119","undifferentiated schizophrenia, continuous"
"33","1975051000006119","undifferentiated schizophrenia, incomplete remission"
"34","1975351000006117","residual schizophrenia, continuous"
"35","1975381000006113","residual schizophrenia, episodic with progressive deficit"
"36","1975401000006113","residual schizophrenia, episodic with stable deficit"
"37","1975431000006117","residual schizophrenia, episodic remittent"
"38","1975471000006119","residual schizophrenia, complete remission"
"39","1975481000006116","residual schizophrenia, course uncertain, period of observation too short"
"40","1975491000006118","simple schizophrenia, continuous"
"41","1975501000006114","simple schizophrenia, episodic with progressive deficit"
"42","1975521000006116","simple schizophrenia, episodic with stable deficit"
"43","1975551000006113","simple schizophrenia, episodic remittent"
"44","1975571000006115","simple schizophrenia, incomplete remission"
"45","1975621000006117","acute polymorphic psychot disord without symp of schizoph, without associated acute stress"
"46","1975641000006112","simple schizophrenia, course uncertain, period of observation too short"
"47","1975671000006116","acute polymorphic psychot disord without symp of schizoph, with associated acute stress"
"48","1975681000006118","acute polymorphic psychot disord with symp of schizophren, without associated acute stress"
"49","1975691000006115","acute polymorphic psychot disord with symp of schizophren, with associated acute stress"
"50","1975711000006117","acute schizophrenia-like psychotic disorder, without associated acute stress"
"51","1975731000006111","acute schizophrenia-like psychotic disorder, with associated acute stress"
"52","1975751000006116","other schizophrenia, continuous"
"53","1975761000006119","other acute predominantly delusional psychotic disorders, without associated acute stress"
"54","1975771000006114","other schizophrenia, episodic with progressive deficit"
"55","1975781000006112","other acute predominantly delusional psychotic disorders, with associated acute stress"
"56","1975801000006111","other schizophrenia, episodic with stable deficit"
"57","1975821000006118","other acute and transient psychotic disorders, without associated acute stress"
"58","1975831000006115","other schizophrenia, episodic remittent"
"59","1975841000006113","other schizophrenia, incomplete remission"
"60","1975871000006117","acute and transient psychotic disorder, unspecified, without associated acute stress"
"61","1975881000006119","other schizophrenia, complete remission"
"62","1975901000006117","acute and transient psychotic disorder, unspecified, with associated acute stress"
"63","1975911000006119","other schizophrenia, course uncertain, period of observation too short"
"64","1975931000006113","bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome"
"65","1975941000006115","bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome"
"66","1976001000006113","schizophrenia, unspecified, continuous"
"67","1976061000006114","schizophrenia, unspecified, episodic with progressive deficit"
"68","1976101000006112","schizophrenia, unspecified, episodic with stable deficit"
"69","1976121000006119","schizophrenia, unspecified, episodic remittent"
"70","1976141000006114","schizophrenia, unspecified, incomplete remission"
"71","1976151000006111","schizophrenia, unspecified, complete remission"
"72","1976171000006118","schizophrenia, unspecified, course uncertain, period of observation too short"
"73","1976881000006112","paranoid schizophrenia, other"
"74","1976901000006114","catatonic schizophrenia, other"
"75","1976911000006112","undifferentiated schizophrenia, other"
