"medcodeid"	"medcode"	"readterm"	"smoking_status"
"14866014"	"11788"	"Non-smoker"	0
"72373013"	"13351"	"Passive smoker"	0
"250374013"	"60"	"Current non-smoker"	0
"397732011"	"33"	"Never smoked tobacco"	0
"854951000006113"	NA	"Grade A non-smoker"	0
"904111000006113"	NA	"Carbon monoxide validation confirms non-smoker"	0
"1009271000006118"	NA	"Non Smoker - Nos"	0
"1123751000000113"	"98177"	"Non-smoker annual review - enhanced services administration"	0
"1154431000000112"	"101878"	"Non-smoker annual review"	0
"250371017"	"12946"	"Ex-smoker - amount unknown"	1
"250373019"	"776"	"Stopped smoking"	1
"250385010"	"12878"	"Date ceased smoking"	1
"295259018"	"72706"	"Tobacco dependence in remission"	1
"342602019"	"106891"	"Ex-tobacco chewer"	1
"342613016"	"101069"	"Exposed to tobacco smoke at home"	1
"418914010"	"97210"	"Ex-cigarette smoker"	1
"649821000006115"	NA	"Ex-cigar smoker"	1
"649831000006117"	NA	"Ex-pipe smoker"	1
"649851000006112"	NA	"Ex- Rolled Tobacco Smoker"	1
"649861000006114"	NA	"Ex-Cigarette Smoker"	1
"853001000006110"	NA	"Ex-smoker NOS"	1
"854051000006112"	NA	"Ex-pipe smoker"	1
"854111000006110"	NA	"Past smoker"	1
"903041000006110"	NA	"EX-Smoker NOS"	1
"1059701000000119"	"100495"	"Ex roll-up cigarette smoker"	1
"1123951000000110"	"98447"	"Ex-smoker annual review - enhanced services administration"	1
"1151791000000117"	"99838"	"Recently stopped smoking"	1
"1154471000000114"	"100963"	"Ex-smoker annual review"	1
"1751721000000113"	"105572"	"Stop smoking invitation short message service text message"	1
"1899561000006114"	NA	"Mother's smoking status at time of baby's birth - ex-smoker"	1
"2735201000000112"	"12959"	"Ex-very heavy smoker (40+/day)"	1
"2735281000000119"	"12956"	"Ex-heavy smoker (20-39/day)"	1
"2735331000000112"	"12955"	"Ex-moderate smoker (10-19/day)"	1
"2735381000000111"	"12957"	"Ex-light smoker (1-9/day)"	1
"2735421000000119"	"12961"	"Ex-trivial smoker (<1/day)"	1
NA	"90"	"Ex smoker"	1
NA	"12619"	"Excepted from smoking quality indicators: Informed dissent"	1
NA	"19488"	"Ex cigar smoker"	1
NA	"26470"	"Ex pipe smoker"	1
NA	"30644"	"Excepted from smoking quality indicators: Patient unsuitable"	1
NA	"58678"	"Exception reporting: smoking quality indicators"	1
NA	"104086"	"Stop smoking invitation first SMS text message"	1
NA	"106384"	"Stop smoking invitation second SMS text message"	1
NA	"106385"	"Stop smoking invitation third SMS text message"	1
"78013015"	"16717"	"Smokers' cough"	2
"99639019"	"12943"	"Cigar smoker"	2
"108938018"	"93"	"Cigarette smoker"	2
"128130017"	"1823"	"Smoker"	2
"136515019"	"12947"	"Pipe smoker"	2
"150398019"	"6359"	"Nicotine withdrawal"	2
"216212011"	"12966"	"Smoking reduced"	2
"250368013"	"12964"	"Keeps trying to stop smoking"	2
"250370016"	"12962"	"Tobacco consumption unknown"	2
"250372012"	"12240"	"Trying to give up smoking"	2
"250375014"	"12945"	"Rolls own cigarettes"	2
"250387019"	"12960"	"Tobacco consumption NOS"	2
"263570019"	"97973"	"Maternal tobacco abuse"	2
"265092010"	"10184"	"Pregnancy smoking advice"	2
"285793015"	"40417"	"Stop smoking monitor default"	2
"285805010"	"63901"	"Stop smoking monitoring delete"	2
"295256013"	"95610"	"Tobacco dependence, unspecified"	2
"295257016"	"70746"	"Tobacco dependence, continuous"	2
"295260011"	"68658"	"Tobacco dependence NOS"	2
"324597019"	"43433"	"Toxic effect of tobacco and nicotine"	2
"338608011"	"7622"	"Smoking cessation advice"	2
"342443012"	"26096"	"Smokes drugs"	2
"342574011"	"105711"	"Total time smoked"	2
"344793011"	"12965"	"Cigarette consumption"	2
"344794017"	"12963"	"Cigar consumption"	2
"344795016"	"12967"	"Pipe tobacco consumption"	2
"397733018"	"12941"	"Occasional smoker"	2
"457286014"	"9833"	"Nicotine replacement therapy"	2
"459484017"	"24529"	"Nicotine replacement therapy refused"	2
"459524018"	"32572"	"Over the counter nicotine replacement therapy"	2
"459722017"	"10742"	"Referral to stop-smoking clinic"	2
"460127014"	"11713"	"Pack years"	2
"460127014"	"42288"	"Pack years"	2
"503483019"	"10558"	"Current smoker"	2
"504769011"	"32973"	"Chews tobacco"	2
"1484932017"	"10211"	"Smoking cessation milestones"	2
"1484933010"	"34126"	"Negotiated date for cessation of smoking"	2
"1484934016"	"34127"	"Smoking status at 4 weeks"	2
"1484935015"	"34374"	"Smoking status between 4 and 52 weeks"	2
"1484936019"	"41405"	"Smoking status at 52 weeks"	2
"1484937011"	"25106"	"Nicotine replacement therapy provided free"	2
"1488576014"	"30423"	"Thinking about stopping smoking"	2
"1488577017"	"31114"	"Ready to stop smoking"	2
"1488578010"	"30762"	"Not interested in stopping smoking"	2
"1488666019"	"52503"	"No smokers in the household"	2
"1488870013"	"66409"	"Nicotine replacement therapy contraindicated"	2
"1488871012"	"63717"	"Bupropion contraindicated"	2
"1488872017"	"57639"	"Bupropion refused"	2
"1488873010"	"10898"	"Smoking free weeks"	2
"1489355012"	"18573"	"Referral to smoking cessation advisor"	2
"1773560017"	"38112"	"Smoking cessation programme start date"	2
"1780273014"	"11356"	"Seen by smoking cessation advisor"	2
"1780360012"	"46321"	"Reason for restarting smoking"	2
"1780396011"	"46300"	"Cigarette pack-years"	2
"2159962015"	"32356"	"Smoking review not indicated"	2
"2474719011"	"62686"	"Minutes from waking to first tobacco consumption"	2
"2669652019"	"12952"	"Smoking started"	2
"2670126018"	"12951"	"Smoking restarted"	2
"2670126018"	"41979"	"Smoking restarted"	2
"21681000000118"	"28834"	"Anti-smoking monitoring admin."	2
"62881000000117"	"11527"	"DNA - Did not attend smoking cessation clinic"	2
"102951000006115"	"32687"	"Tobacco dependence"	2
"137711000006111"	NA	"Smoker (Read codes)"	2
"137721000006115"	"12942"	"Smoker - amount smoked"	2
"137791000006118"	"12951"	"Smoking restarted"	2
"137791000006118"	"41979"	"Smoking restarted"	2
"303501000000115"	"41042"	"Smoking cessation advice provided by community pharmacist"	2
"397981000006119"	"107792"	"[X]Mental and behav dis due to use tobacco: dependence syndr"	2
"482771000000118"	"94958"	"Smoking cessation drug therapy"	2
"482811000000118"	"85975"	"Nicotine replacement therapy using nicotine gum"	2
"482831000000114"	"85247"	"Nicotine replacement therapy using nicotine inhalator"	2
"482871000000111"	"91708"	"Other specified smoking cessation therapy"	2
"489931000000114"	"90522"	"Smoking cessation therapy NOS"	2
"492511000000117"	"74907"	"Smoking cessation therapy"	2
"604961000006114"	NA	"Current Smoker NOS"	2
"852981000006111"	"12945"	"Rolls own cigarettes"	2
"854021000006115"	"93"	"Cigarette smoker"	2
"854071000006119"	"10558"	"Current smoker"	2
