"medcode"	"readterm"	"smoking_status"
"100099"	"Smoking cessation advice declined"	2
"100495"	"Ex roll-up cigarette smoker"	1
"100963"	"Ex-smoker annual review"	1
"101069"	"Exposed to tobacco smoke at home"	1
"101210"	"Consent given for smoking cessation data sharing"	2
"101325"	"Declin cons follow-up evaluation after smoking cess interven"	2
"101338"	"Failed attempt to stop smoking"	2
"101385"	"Consent given for follow-up by smoking cessation team"	2
"101634"	"Consent given follow-up after smoking cessation intervention"	2
"101764"	"Practice based smoking cessation programme start date"	2
"10184"	"Pregnancy smoking advice"	2
"101851"	"Declined consent for follow-up by smoking cessation team"	2
"101854"	"Declined consent for smoking cessation data sharing"	2
"101878"	"Non-smoker annual review"	0
"10211"	"Smoking cessation milestones"	1
"102361"	"Referral for smoking cessation service offered"	2
"102951"	"Lost to smoking cessation follow-up"	2
"103208"	"Smoking status at 12 weeks"	2
"103507"	"Stop smoking service opportunity signposted"	2
"104086"	"Stop smoking invitation first SMS text message"	2
"104185"	"Smoking cessation drug therapy declined"	2
"104230"	"Smoking cessation programme declined"	2
"104310"	"Current smoker annual review"	2
"105501"	"Waterpipe tobacco consumption"	2
"105572"	"Stop smoking invitation short message service text message"	2
"10558"	"Current smoker"	2
"10560"	"Smoke inhalation"	NA
"105710"	"Smoking cessation 12 week follow-up"	2
"105711"	"Total time smoked"	NA
"106359"	"Referral to smoking cessation service"	2
"106384"	"Stop smoking invitation second SMS text message"	2
"106385"	"Stop smoking invitation third SMS text message"	2
"106391"	"Referral to smoking cessation service declined"	2
"106891"	"Ex-tobacco chewer"	1
"10742"	"Referral to stop-smoking clinic"	2
"107792"	"[X]Mental and behav dis due to use tobacco: dependence syndr"	2
"10898"	"Smoking free weeks"	1
"11356"	"Seen by smoking cessation advisor"	2
"11527"	"DNA - Did not attend smoking cessation clinic"	2
"11713"	"Pack years"	2
"11788"	"Non-smoker"	0
"12240"	"Trying to give up smoking"	2
"12619"	"Excepted from smoking quality indicators: Informed dissent"	1
"12878"	"Date ceased smoking"	1
"12941"	"Occasional smoker"	2
"12942"	"Smoker - amount smoked"	2
"12943"	"Cigar smoker"	2
"12944"	"Light smoker - 1-9 cigs/day"	2
"12945"	"Rolls own cigarettes"	2
"12946"	"Ex-smoker - amount unknown"	1
"12947"	"Pipe smoker"	2
"12951"	"Smoking restarted"	2
"12952"	"Smoking started"	2
"12953"	"Attends stop smoking monitor."	2
"12954"	"[V]Tobacco use"	2
"12955"	"Ex-moderate smoker (10-19/day)"	1
"12956"	"Ex-heavy smoker (20-39/day)"	1
"12957"	"Ex-light smoker (1-9/day)"	1
"12958"	"Trivial smoker - < 1 cig/day"	2
"12959"	"Ex-very heavy smoker (40+/day)"	1
"12960"	"Tobacco consumption NOS"	2
"12961"	"Ex-trivial smoker (<1/day)"	1
"12962"	"Tobacco consumption unknown"	2
"12963"	"Cigar consumption"	2
"12964"	"Keeps trying to stop smoking"	2
"12965"	"Cigarette consumption"	2
"12966"	"Smoking reduced"	2
"12967"	"Pipe tobacco consumption"	2
"13351"	"Passive smoker"	0
"16717"	"Smokers' cough"	2
"17437"	"Smoke inhalation"	NA
"1822"	"Very heavy smoker - 40+cigs/d"	2
"1823"	"Smoker"	2
"18573"	"Referral to smoking cessation advisor"	2
"1878"	"Moderate smoker - 10-19 cigs/d"	2
"18926"	"Lifestyle advice regarding smoking"	2
"19485"	"Stop smoking monitor.chck done"	2
"19488"	"Ex cigar smoker"	1
"2111"	"Health ed. - smoking"	2
"21637"	"Stop smoking monitor admin.NOS"	2
"24529"	"Nicotine replacement therapy refused"	2
"25106"	"Nicotine replacement therapy provided free"	2
"26096"	"Smokes drugs"	NA
"26470"	"Ex pipe smoker"	1
"2758"	"Smoke inhalation"	NA
"28834"	"Anti-smoking monitoring admin."	NA
"30423"	"Thinking about stopping smoking"	2
"30644"	"Excepted from smoking quality indicators: Patient unsuitable"	1
"30762"	"Not interested in stopping smoking"	2
"31114"	"Ready to stop smoking"	2
"32083"	"Stop smoking clinic admin."	2
"32356"	"Smoking review not indicated"	NA
