"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"118689010"	27662	"G640"	"G640.00"	"cerebral thrombosis"	"71444005"	"118689010"	32
"125470015"	7631	"G641"	"G641.00"	"cerebral embolism"	"75543006"	"125470015"	32
"158118014"	49750	"G64z-2"	"G64z.12"	"cerebellar infarction"	"95460007"	"158118014"	32
"264499015"	628954	"662M"	"662M.00"	"stroke monitoring"	"170600009"	"264499015"	1
"299342019"	34030	"Fyu56"	"Fyu5600"	"lacunar infarction"	"230698000"	"345651012"	32
"300277011"	5812	"G617"	"G617.00"	"intracerebral haemorrhage, intraventricular"	"195168007"	"300277011"	32
"300287010"	4588	"G61z"	"G61z.00"	"intracerebral haemorrhage nos"	"274100004"	"2819959010"	32
"300303013"	1189	"G630"	"G630.00"	"basilar artery occlusion"	"195180004"	"300303013"	32
"300310019"	13	"G633"	"G633.00"	"multiple and bilateral precerebral arterial occlusion"	"195183002"	"300310019"	32
"300311015"	219	"G63y"	"G63y.00"	"other precerebral artery occlusion"	"266253001"	"395777014"	32
"300312010"	3311	"G63y0"	"G63y000"	"cerebral infarct due to thrombosis of precerebral arteries"	"195185009"	"300312010"	32
"300313017"	1374	"G63y1"	"G63y100"	"cerebral infarction due to embolism of precerebral arteries"	"195186005"	"300313017"	32
"300314011"	626	"G63z"	"G63z.00"	"precerebral artery occlusion nos"	"266253001"	"395777014"	32
"300321011"	4804	"G6400"	"G640000"	"cerebral infarction due to thrombosis of cerebral arteries"	"195189003"	"300321011"	32
"300322016"	1981	"G6410"	"G641000"	"cerebral infarction due to embolism of cerebral arteries"	"195190007"	"300322016"	32
"300366019"	10753	"G664"	"G664.00"	"cerebellar stroke syndrome"	"195213000"	"300366019"	32
"300370010"	86446	"G667"	"G667.00"	"left sided cva"	"195216008"	"300370010"	32
"300371014"	79870	"G668"	"G668.00"	"right sided cva"	"195217004"	"300371014"	32
"300395011"	814	"G6770"	"G677000"	"occlusion and stenosis of middle cerebral artery"	"195232006"	"300395011"	32
"300396012"	80	"G6771"	"G677100"	"occlusion and stenosis of anterior cerebral artery"	"195233001"	"300396012"	32
