"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"18804"	"8HTQ.00"	23915	0	13017	0	"referral to stroke clinic"	"February 2009"
"8443"	"G663.00"	1789	0	26	0	"brain stem stroke syndrome"	"February 2009"
"51326"	"G63y.00"	58	0	0	0	"other precerebral artery occlusion"	"February 2009"
"30202"	"G617.00"	1323	0	3	0	"intracerebral haemorrhage, intraventricular"	"February 2009"
"10792"	"662M.00"	129874	0	857	0	"stroke monitoring"	"February 2009"
"26424"	"G64z400"	2455	0	8	0	"infarction of basal ganglia"	"February 2009"
"48149"	"G681.00"	55	0	0	0	"sequelae of intracerebral haemorrhage"	"February 2009"
"45781"	"G63..00"	456	0	6	0	"precerebral arterial occlusion"	"February 2009"
"31060"	"G61X.00"	243	0	0	0	"intracerebral haemorrhage in hemisphere, unspecified"	"February 2009"
"5871"	"14A7.12"	14268	0	783	0	"h/o: stroke"	"February 2009"
"105520"	"8Hd6.00"	274	0	13	0	"admission to stroke unit"	"January 2013"
"104638"	"8IEC.00"	4	0	13	0	"ref multidisciplinary stroke function improvement declined"	"August 2012"
"52679"	"L417.00"	50	0	0	0	"obstetric cerebral venous thrombosis"	"February 2009"
"16517"	"G640.00"	4244	0	100	0	"cerebral thrombosis"	"February 2009"
"55351"	"7P24200"	256	0	52	0	"delivery of rehabilitation for stroke"	"February 2009"
"109679"	"5C13.00"	298	0	10	345	"old cerebral infarction on imaging"	"May 2015"
"52246"	"13YA.00"	71	0	2	0	"stroke group member"	"February 2009"
"34758"	"G641.11"	124	0	2	0	"cerebral embolus"	"February 2009"
"10504"	"G64z300"	3659	0	4	0	"right sided cerebral infarction"	"February 2009"
"6228"	"G68X.00"	615	0	11	0	"sequelae of stroke,not specfd as h'morrhage or infarction"	"February 2009"
"7138"	"ZV12512"	1026	0	36	0	"[v]personal history of cerebrovascular accident (cva)"	"February 2009"
"19348"	"ZV12511"	1146	0	31	0	"[v]personal history of stroke"	"February 2009"
"107195"	"661M700"	18	0	0	0	"stroke self-management plan agreed"	"October 2013"
"71585"	"G63z.00"	61	0	0	0	"precerebral artery occlusion nos"	"February 2009"
"36559"	"Q200011"	42	0	0	0	"intracerebral haemorrhage in fetus or newborn"	"February 2009"
"24446"	"G63y100"	541	0	5	0	"cerebral infarction due to embolism of precerebral arteries"	"February 2009"
"13564"	"G613.00"	2609	0	24	0	"cerebellar haemorrhage"	"February 2009"
"33543"	"G6X..00"	3345	0	4	0	"cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"	"February 2009"
"18686"	"662e.00"	192319	0	123	0	"stroke/cva annual review"	"February 2009"
"32959"	"9N0p.00"	34767	0	17	0	"seen in stroke clinic"	"February 2009"
"6960"	"G61..11"	15284	0	456	1	"cva - cerebrovascular accid due to intracerebral haemorrhage"	"February 2009"
"18604"	"G61..12"	3292	0	33	0	"stroke due to intracerebral haemorrhage"	"February 2009"
"8837"	"G64..00"	36039	0	209	0	"cerebral arterial occlusion"	"February 2009"
"92036"	"Gyu6600"	65	0	0	0	"[x]occlusion and stenosis of other cerebral arteries"	"February 2009"
"9985"	"G64z200"	4051	0	8	0	"left sided cerebral infarction"	"February 2009"
"3149"	"G64z.00"	49944	0	250	0	"cerebral infarction nos"	"February 2009"
"39403"	"G683.00"	187	0	4	0	"sequelae of cerebral infarction"	"February 2009"
"15019"	"G641.00"	1598	0	63	0	"cerebral embolism"	"February 2009"
"6155"	"G64..13"	7470	0	58	0	"stroke due to cerebral arterial occlusion"	"February 2009"
"71274"	"G677400"	9	0	0	0	"occlusion+stenosis of multiple and bilat cerebral arteries"	"February 2009"
"19201"	"G61X100"	371	0	1	0	"right sided intracerebral haemorrhage, unspecified"	"February 2009"
"23671"	"G63y000"	2072	0	8	0	"cerebral infarct due to thrombosis of precerebral arteries"	"February 2009"
"27975"	"G641000"	341	0	0	0	"cerebral infarction due to embolism of cerebral arteries"	"February 2009"
"66873"	"14AK.00"	172	0	7	0	"h/o: stroke in last year"	"February 2009"
"100639"	"1M4..00"	130	0	4	0	"central post-stroke pain"	"September 2010"
"108569"	"2Ba2200"	295	0	1	0	"scpe class predom patt c.3 infarct of middle cerebral artery"	"September 2014"
"102357"	"1JA1000"	3742	0	415	0	"suspected cerebrovascular accident"	"June 2011"
"107440"	"G619.00"	328	0	0	0	"lobar cerebral haemorrhage"	"December 2013"
"90572"	"Gyu6500"	31	0	0	0	"[x]occlusion and stenosis of other precerebral arteries"	"February 2009"
"107886"	"662e.11"	44	0	0	0	"stroke annual review"	"April 2014"
"5051"	"G61..00"	25061	0	276	0	"intracerebral haemorrhage"	"February 2009"
"5363"	"G64..11"	42164	0	508	0	"cva - cerebral artery occlusion"	"February 2009"
"569"	"G64..12"	5716	0	193	0	"infarction - cerebral"	"February 2009"
"28914"	"662o.00"	323	0	7	0	"haemorrhagic stroke monitoring"	"February 2009"
"105100"	"662M100"	110	0	0	0	"stroke 6 month review"	"October 2012"
"15252"	"G64z.11"	455	0	30	0	"brainstem infarction nos"	"February 2009"
"5602"	"G64z.12"	12830	0	71	0	"cerebellar infarction"	"February 2009"
"32447"	"G630.00"	266	0	1	0	"basilar artery occlusion"	"February 2009"
"53745"	"Gyu6400"	1023	0	2	0	"[x]other cerebral infarction"	"February 2009"
"25615"	"G64z000"	1047	0	38	0	"brainstem infarction"	"February 2009"
"94482"	"Gyu6G00"	55	0	0	0	"[x]cereb infarct due unsp occlus/stenos precerebr arteries"	"February 2009"
"13707"	"8HBJ.00"	27553	0	18719	0	"stroke / transient ischaemic attack referral"	"February 2009"
"34135"	"14A7.00"	15533	0	103	0	"h/o: cva/stroke"	"February 2009"
"56458"	"8HHM.00"	105	0	209	0	"ref to multidisciplinary stroke function improvement service"	"February 2009"
"39344"	"G676000"	456	0	2	0	"cereb infarct due cerebral venous thrombosis, nonpyogenic"	"February 2009"
"1469"	"G66..00"	328504	0	24203	385	"stroke and cerebrovascular accident unspecified"	"February 2009"
"12833"	"G668.00"	7910	0	94	0	"right sided cva"	"February 2009"
"109743"	"661N700"	9	0	0	0	"stroke self-management plan review"	"June 2015"
"65770"	"G677200"	36	0	0	0	"occlusion and stenosis of posterior cerebral artery"	"February 2009"
"57315"	"G618.00"	52	0	2	0	"intracerebral haemorrhage, multiple localized"	"February 2009"
