"term"	"Group"	"Umbrella"	"medcode"
"anoxic - ischaemic encephalopathy"	"Cerebrovascular disease"	"Cerebrovascular disease"	"5644"
"acute confusional state, of cerebrovascular origin"	"Cerebrovascular disease"	"Cerebrovascular disease"	"25114"
"cereb infarct due cerebral venous thrombosis, nonpyogenic"	"Cerebral ischaemia"	"Cerebrovascular disease"	"39344"
"intracerebral haemorrhage in hemisphere, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"31060"
"intracerebral haemorrhage, intraventricular"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"30202"
"intracerebral haemorrhage, multiple localized"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"57315"
"left sided intracerebral haemorrhage, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"28314"
"right sided intracerebral haemorrhage, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"19201"
"sequelae of stroke,not specfd as h'morrhage or infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"6228"
"stenosis, carotid artery"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2156"
"subacute confusional state, of cerebrovascular origin"	"Cerebrovascular disease"	"Cerebrovascular disease"	"24035"
"subarachnoid haemorrh from intracranial artery, unspecif"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"17326"
"[v]personal history of cerebrovascular accident (cva)"	"Cerebral ischaemia"	"Cerebrovascular disease"	"7138"
"[v]personal history of stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"19348"
"[x]cereb infarct due unsp occlus/stenos precerebr arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"94482"
"[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"	"Cerebral ischaemia"	"Cerebrovascular disease"	"91627"
"[x]cerebrovascular diseases"	"Cerebrovascular disease"	"Cerebrovascular disease"	"73901"
"[x]intracerebral haemorrhage in hemisphere, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"96630"
"[x]other cerebral infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"53745"
"[x]other intracerebral haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"53810"
"[x]other subarachnoid haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"65745"
"[x]other vascular syndroms/brain in cerebrovasculr diseases"	"Cerebral ischaemia"	"Cerebrovascular disease"	"95347"
"[x]subarachnoid haemorrh from intracranial artery, unspecif"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"108630"
"[x]subarachnoid haemorrhage from other intracranial arteries"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"108668"
"acute cerebrovascular insufficiency nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"70536"
"admission to stroke unit"	"Cerebral ischaemia"	"Cerebrovascular disease"	"105520"
"basal nucleus haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"46316"
"basilar artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"32447"
"basilar artery syndrome"	"Cerebral ischaemia"	"Cerebrovascular disease"	"23942"
"brain stem stroke syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"8443"
"brainstem infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"25615"
"brainstem infarction nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"15252"
"bulbar haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"62342"
"carotid artery disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"22677"
"carotid artery doppler abnormal"	"Cerebral ischaemia"	"Cerebrovascular disease"	"12413"
"carotid artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"4240"
"carotid artery stenosis"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2652"
"carotid artery syndrome hemispheric"	"Cerebral ischaemia"	"Cerebrovascular disease"	"44765"
"carotid endarterectomy and patch"	"Cerebral ischaemia"	"Cerebrovascular disease"	"12733"
"central post-stroke pain"	"Cerebral ischaemia"	"Cerebrovascular disease"	"100639"
"cereb infarct due unsp occlus/stenos precerebr arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"40758"
"cerebellar haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"13564"
"cerebellar infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"5602"
"cerebellar stroke syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"17322"
"cerebral arterial occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"8837"
"cerebral degeneration due to cerebrovascular disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"54744"
"cerebral degeneration due to multifocal leucoencephalopathy"	"Cerebral ischaemia"	"Cerebrovascular disease"	"99684"
"cerebral degeneration in hunter's disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"63652"
"cerebral degeneration nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"5651"
"cerebral degenerations usually manifest in childhood"	"Cerebral ischaemia"	"Cerebrovascular disease"	"56288"
"cerebral embolism"	"Cerebral ischaemia"	"Cerebrovascular disease"	"15019"
"cerebral embolus"	"Cerebral ischaemia"	"Cerebrovascular disease"	"34758"
"cerebral infarct due to thrombosis of precerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"23671"
"cerebral infarction due to embolism of cerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"27975"
"cerebral infarction due to embolism of precerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"24446"
"cerebral infarction due to thrombosis of cerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"36717"
"cerebral infarction nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"3149"
"cerebral thrombosis"	"Cerebral ischaemia"	"Cerebrovascular disease"	"16517"
"cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"	"Cerebral ischaemia"	"Cerebrovascular disease"	"33543"
"cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"2418"
"cerebrovascular disease nos"	"Cerebrovascular disease"	"Cerebrovascular disease"	"10062"
"cerebrovascular system anomalies"	"Cerebrovascular disease"	"Cerebrovascular disease"	"31451"
"cortical haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"31595"
"cva - cerebral artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"5363"
"cva - cerebrovascular accid due to intracerebral haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"6960"
"cva - cerebrovascular accident in the puerperium"	"Cerebral ischaemia"	"Cerebrovascular disease"	"47607"
"cva - cerebrovascular accident unspecified"	"Cerebral ischaemia"	"Cerebrovascular disease"	"6116"
"cva unspecified"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1298"
"delivery of rehabilitation for stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"55351"
"endarterectomy and patch repair of carotid artery"	"Cerebral ischaemia"	"Cerebrovascular disease"	"35916"
"endarterectomy of carotid artery nec"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2654"
"evacuation of intracerebral haematoma nec"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"7017"
"external capsule haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"30045"
"generalised ischaemic cerebrovascular disease nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"12555"
"generalised ischaemic cerebrovascular disease nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"40053"
"h/o: cerebrovascular disease"	"Cerebrovascular disease"	"Cerebrovascular disease"	"41577"
"h/o: cva/stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"34135"
"h/o: stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"5871"
"h/o: stroke in last year"	"Cerebral ischaemia"	"Cerebrovascular disease"	"66873"
"haemorrhagic stroke monitoring"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"28914"
"infantile posthaemorrhagic hydrocephalus"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"45734"
"infarction - cerebral"	"Cerebral ischaemia"	"Cerebrovascular disease"	"569"
"infarction - precerebral"	"Cerebral ischaemia"	"Cerebrovascular disease"	"57495"
"infarction of basal ganglia"	"Cerebral ischaemia"	"Cerebrovascular disease"	"26424"
"insufficiency - basilar artery"	"Cerebral ischaemia"	"Cerebrovascular disease"	"5268"
"intermittent cerebral ischaemia"	"Cerebral ischaemia"	"Cerebrovascular disease"	"16507"
"internal capsule haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"40338"
"intracerebral haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"5051"
