"medcode"	"term"	"database"
"64025010"	"hallucinogen dependence"	"Aurum"
"253488010"	"suspected drug abuse"	"Aurum"
"263571015"	"maternal drug abuse"	"Aurum"
"295145018"	"drug dependence"	"Aurum"
"295153014"	"unspecified opioid dependence"	"Aurum"
"295154015"	"continuous opioid dependence"	"Aurum"
"295155019"	"episodic opioid dependence"	"Aurum"
"295156018"	"opioid dependence in remission"	"Aurum"
"295157010"	"opioid drug dependence nos"	"Aurum"
"295172014"	"cocaine type drug dependence"	"Aurum"
"295173016"	"cocaine dependence"	"Aurum"
"295176012"	"cocaine dependence, continuous"	"Aurum"
"295177015"	"cocaine dependence, episodic"	"Aurum"
"295178013"	"cocaine dependence in remission"	"Aurum"
"295179017"	"cocaine drug dependence nos"	"Aurum"
"295187016"	"cannabis dependence"	"Aurum"
"295188014"	"cannabis dependence, continuous"	"Aurum"
"295189018"	"cannabis dependence, episodic"	"Aurum"
"295190010"	"cannabis dependence in remission"	"Aurum"
"295191014"	"cannabis drug dependence nos"	"Aurum"
"295197013"	"amphetamine or psychostimulant dependence, unspecified"	"Aurum"
"295198015"	"amphetamine or psychostimulant dependence, continuous"	"Aurum"
"295199011"	"amphetamine or psychostimulant dependence, episodic"	"Aurum"
"295200014"	"amphetamine or psychostimulant dependence in remission"	"Aurum"
"295201013"	"amphetamine or psychostimulant dependence nos"	"Aurum"
"295207012"	"hallucinogen dependence, unspecified"	"Aurum"
"295208019"	"hallucinogen dependence, continuous"	"Aurum"
"295209010"	"hallucinogen dependence, episodic"	"Aurum"
"295210017"	"hallucinogen dependence in remission"	"Aurum"
"295211018"	"hallucinogen dependence nos"	"Aurum"
"295212013"	"glue sniffing dependence"	"Aurum"
"295214014"	"glue sniffing dependence, unspecified"	"Aurum"
"295215010"	"glue sniffing dependence, continuous"	"Aurum"
"295216011"	"glue sniffing dependence, episodic"	"Aurum"
"295217019"	"glue sniffing dependence in remission"	"Aurum"
"295218012"	"glue sniffing dependence nos"	"Aurum"
"295222019"	"other specified drug dependence, unspecified"	"Aurum"
"295224018"	"other specified drug dependence, continuous"	"Aurum"
"295225017"	"other specified drug dependence, episodic"	"Aurum"
"295226016"	"other specified drug dependence in remission"	"Aurum"
"295227013"	"other specified drug dependence nos"	"Aurum"
"295228015"	"combined opioid with other drug dependence"	"Aurum"
"295229011"	"combined opioid with other drug dependence, unspecified"	"Aurum"
"295230018"	"combined opioid with other drug dependence, continuous"	"Aurum"
"295231019"	"combined opioid with other drug dependence, episodic"	"Aurum"
"295232014"	"combined opioid with other drug dependence in remission"	"Aurum"
"295233016"	"combined opioid with other drug dependence nos"	"Aurum"
"295234010"	"combined drug dependence, excluding opioids"	"Aurum"
"295235011"	"combined drug dependence, excluding opioid, unspecified"	"Aurum"
"295236012"	"combined drug dependence, excluding opioid, continuous"	"Aurum"
"295237015"	"combined drug dependence, excluding opioid, episodic"	"Aurum"
"295238013"	"combined drug dependence, excluding opioid, in remission"	"Aurum"
"295239017"	"combined drug dependence, excluding opioid, nos"	"Aurum"
"295240015"	"ecstasy type drug dependence"	"Aurum"
"295241016"	"drug dependence nos"	"Aurum"
"295261010"	"nondependent cannabis abuse"	"Aurum"
"295262015"	"nondependent cannabis abuse, unspecified"	"Aurum"
"295263013"	"nondependent cannabis abuse, continuous"	"Aurum"
"295264019"	"nondependent cannabis abuse, episodic"	"Aurum"
"295265018"	"nondependent cannabis abuse in remission"	"Aurum"
"295266017"	"nondependent cannabis abuse nos"	"Aurum"
"295271012"	"nondependent hallucinogen abuse, unspecified"	"Aurum"
