"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Sulfonylurea"
"77498"	5473	"Gliclazide 160mg tablets"	"Gliclazide"	"160mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"62034"	92	"Laaglyda MR 60mg tablets (Krka UK Ltd)"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"11695"	95305	"Diamicron 30mg MR tablets (Servier Laboratories Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"34957"	63	"Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"70432"	17637	"Bilxona 30mg modified-release tablets (Accord-UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"84885"	0	"Gliclazide 80mg tablets (Phoenix Healthcare Distribution Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"44473"	88	"Edicil MR 30mg tablets (Teva UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"32"	11938275	"Gliclazide 80mg tablets"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"45215"	15	"Gliclazide 80mg Tablet (Neo Laboratories Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"11284"	16403	"Amaryl 4mg tablets (Zentiva Pharma UK Ltd)"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
