"medcode"	"term"	"database"
"73466011"	"non-insulin dependent diabetes mellitus"	"Aurum"
"121589010"	"diabetes mellitus"	"Aurum"
"197761014"	"type 2 diabetes mellitus"	"Aurum"
"264681018"	"diabetic on oral treatment"	"Aurum"
"264682013"	"diabetic on insulin"	"Aurum"
"264707013"	"diabetic - good control"	"Aurum"
"264716012"	"diabetic - poor control nos"	"Aurum"
"264717015"	"diabetic - cooperative patient"	"Aurum"
"264718013"	"diabetic-uncooperative patient"	"Aurum"
"264719017"	"diabetic - follow-up default"	"Aurum"
"292466013"	"diabetes mellitus without complication"	"Aurum"
"292475010"	"diabetes mellitus nos with no mention of complication"	"Aurum"
"292479016"	"diabetes mellitus nos with ketoacidosis"	"Aurum"
"292480018"	"diabetes mellitus with hyperosmolar coma"	"Aurum"
"292483016"	"diabetes mellitus, adult onset, with hyperosmolar coma"	"Aurum"
"292489017"	"diabetes mellitus nos with ketoacidotic coma"	"Aurum"
"292496015"	"diabetes mellitus with nephropathy nos"	"Aurum"
"292503016"	"diabetes mellitus nos with ophthalmic manifestation"	"Aurum"
"292512019"	"diabetes mellitus nos with neurological manifestation"	"Aurum"
"292523015"	"diabetes mellitus nos with peripheral circulatory disorder"	"Aurum"
"292565014"	"diabetes mellitus with multiple complications"	"Aurum"
"292576013"	"type ii diabetes mellitus with multiple complications"	"Aurum"
"292577016"	"type 2 diabetes mellitus with multiple complications"	"Aurum"
"292579018"	"type 2 diabetes mellitus with ulcer"	"Aurum"
"292581016"	"type ii diabetes mellitus with ulcer"	"Aurum"
"292582011"	"type ii diabetes mellitus with gangrene"	"Aurum"
"292583018"	"type 2 diabetes mellitus with gangrene"	"Aurum"
"292589019"	"type ii diabetes mellitus - poor control"	"Aurum"
"292590011"	"type ii diabetes mellitus poorly controlled"	"Aurum"
"292617015"	"diabetes mellitus with other specified manifestation"	"Aurum"
"292621010"	"diabetes mellitus nos with other specified manifestation"	"Aurum"
"292622015"	"diabetes mellitus with unspecified complication"	"Aurum"
"345487013"	"diabetes mellitus with neuropathy"	"Aurum"
"401531012"	"diabetic - poor control"	"Aurum"
"411891014"	"unstable diabetes"	"Aurum"
"457328010"	"non-insulin-dependent diabetes mellitus without complication"	"Aurum"
"457329019"	"type 2 diabetes mellitus without complication"	"Aurum"
"457330012"	"type ii diabetes mellitus without complication"	"Aurum"
"458512016"	"diabetic on insulin and oral treatment"	"Aurum"
"459167016"	"type 2 diabetes mellitus with hypoglycaemic coma"	"Aurum"
"459306016"	"type ii diabetes mellitus with peripheral angiopathy"	"Aurum"
"459308015"	"type 2 diabetes mellitus with peripheral angiopathy"	"Aurum"
"459309011"	"non-insulin dependent diabetes mellitus with arthropathy"	"Aurum"
"459310018"	"type 2 diabetes mellitus with arthropathy"	"Aurum"
"459311019"	"type ii diabetes mellitus with arthropathy"	"Aurum"
"459312014"	"type ii diabetes mellitus with neuropathic arthropathy"	"Aurum"
"459313016"	"type 2 diabetes mellitus with neuropathic arthropathy"	"Aurum"
"493773010"	"niddm - non-insulin dependent diabetes mellitus"	"Aurum"
"493774016"	"type ii diabetes mellitus"	"Aurum"
"1223147012"	"insulin treated type ii diabetes mellitus"	"Aurum"
"1223148019"	"insulin treated non-insulin dependent diabetes mellitus"	"Aurum"
"2622193012"	"diabetes mellitus with ketoacidosis"	"Aurum"
"84471000006119"	"type 2 diabetes mellitus"	"Aurum"
"84481000006116"	"type 2 diabetes mellitus - poor control"	"Aurum"
"84491000006118"	"type 2 diabetes mellitus with arthropathy"	"Aurum"
"84511000006112"	"type 2 diabetes mellitus with gangrene"	"Aurum"
"84521000006116"	"type 2 diabetes mellitus with hypoglycaemic coma"	"Aurum"
"84531000006118"	"type 2 diabetes mellitus with mononeuropathy"	"Aurum"
"84541000006111"	"type 2 diabetes mellitus with multiple complications"	"Aurum"
"84551000006113"	"type 2 diabetes mellitus with nephropathy"	"Aurum"
"84561000006110"	"type 2 diabetes mellitus with neurological complications"	"Aurum"
"84571000006115"	"type 2 diabetes mellitus with neuropathic arthropathy"	"Aurum"
"84581000006117"	"type 2 diabetes mellitus with ophthalmic complications"	"Aurum"
"84591000006119"	"type 2 diabetes mellitus with peripheral angiopathy"	"Aurum"
"84631000006119"	"type 2 diabetes mellitus with ulcer"	"Aurum"
"84641000006112"	"type 2 diabetes mellitus without complication"	"Aurum"
"84841000006113"	"type ii diabetes mellitus"	"Aurum"
