"medcodeid"	"term"
"302011"	"diabetic peripheral angiopathy"
"9093013"	"diabetic retinopathy"
"10928019"	"diabetes mellitus associated with genetic syndrome"
"15518018"	"secondary diabetes mellitus"
"19931010"	"brittle diabetes"
"26721014"	"diabetes insipidus"
"65526011"	"diabetic amyotrophy"
"73294018"	"diabetic cataract"
"73466011"	"non-insulin dependent diabetes mellitus"
"75638010"	"cranial diabetes insipidus"
"77727018"	"insulin dependent diabetes mellitus"
"82373015"	"diabetic polyneuropathy"
"96244016"	"protein-deficient diabetes mellitus"
"98476015"	"proliferative diabetic retinopathy"
"121589010"	"diabetes mellitus"
"125705011"	"diabetes mellitus due to insulin receptor antibodies"
"178798017"	"diabetic ketoacidosis without coma"
"197761014"	"type 2 diabetes mellitus"
"197984010"	"type 1 diabetes mellitus"
"205225016"	"diabetic nephropathy"
"216195015"	"diabetes care by hospital only"
"250447011"	"diabetic diet"
"251591016"	"h/o: diabetes mellitus"
"259365016"	"glucose tolerance test indicates diabetes mellitus"
"264676010"	"diabetic monitoring"
"264677018"	"initial diabetic assessment"
"264678011"	"follow-up diabetic assessment"
"264679015"	"diabetic on diet only"
"264681018"	"diabetic on oral treatment"
"264682013"	"diabetic on insulin"
"264693010"	"has seen dietician - diabetes"
"264695015"	"understands diet - diabetes"
"264704018"	"diabetic drug side effects"
"264705017"	"diabetic treatment changed"
"264707013"	"diabetic - good control"
"264716012"	"diabetic - poor control nos"
"264717015"	"diabetic - cooperative patient"
"264718013"	"diabetic-uncooperative patient"
"264719017"	"diabetic - follow-up default"
"264720011"	"date diabetic treatment start"
"264723013"	"diabetes: practice programme"
"264724019"	"diabetes: shared care programme"
"264726017"	"diabetes management plan given"
"264727014"	"diabetic annual review"
"264728016"	"annual diabetic blood test"
"264729012"	"diabetic monitoring nos"
"282568013"	"diabetic crisis monitoring"
"282570016"	"diabetic stabilisation"
"283027015"	"diabetic leaflet given"
"283544013"	"diabetic emergency hospital admission"
"283584016"	"non-urgent diabetic admission"
"283620017"	"referral to diabetologist"
"283709014"	"referral to diabetic liaison nurse"
"283889016"	"diabetology d.v. requested"
"283938017"	"diabetology d.v. done"
"283974014"	"listed for diabetology admission"
"284124018"	"private referral to diabetologist"
"285223014"	"seen in diabetic clinic"
"285751016"	"attends diabetes monitoring"
"285752011"	"refuses diabetes monitoring"
"285753018"	"diabetes monitoring default"
"292466013"	"diabetes mellitus without complication"
"292475010"	"diabetes mellitus nos with no mention of complication"
"292478012"	"other specified diabetes mellitus with ketoacidosis"
"292479016"	"diabetes mellitus nos with ketoacidosis"
"292480018"	"diabetes mellitus with hyperosmolar coma"
"292482014"	"diabetes mellitus, juvenile type, with hyperosmolar coma"
"292483016"	"diabetes mellitus, adult onset, with hyperosmolar coma"
"292484010"	"hyperosmolar coma associated with diabetes mellitus"
"292488013"	"coma associated with diabetes mellitus"
"292489017"	"diabetes mellitus nos with ketoacidotic coma"
"292495016"	"other specified diabetes mellitus with renal complications"
"292496015"	"diabetes mellitus with nephropathy nos"
"292503016"	"diabetes mellitus nos with ophthalmic manifestation"
"292512019"	"diabetes mellitus nos with neurological manifestation"
"292523015"	"diabetes mellitus nos with peripheral circulatory disorder"
"292538019"	"type i diabetes mellitus with ulcer"
"292540012"	"type 1 diabetes mellitus with ulcer"
"292541011"	"type 1 diabetes mellitus with gangrene"
"292543014"	"type i diabetes mellitus with gangrene"
"292548017"	"type 1 diabetes mellitus - poor control"
"292550013"	"type i diabetes mellitus - poor control"
"292551012"	"type i diabetes mellitus maturity onset"
"292553010"	"type 1 diabetes mellitus maturity onset"
"292565014"	"diabetes mellitus with multiple complications"
"292576013"	"type ii diabetes mellitus with multiple complications"
"292577016"	"type 2 diabetes mellitus with multiple complications"
"292579018"	"type 2 diabetes mellitus with ulcer"
"292581016"	"type ii diabetes mellitus with ulcer"
