"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"19931010"	2001	"66AJ1"	"66AJ100"	"brittle diabetes"	"11530004"	"19931010"	27
"73466011"	153909	"C1001-2"	"C100112"	"non-insulin dependent diabetes mellitus"	"44054006"	"493773010"	32
"121589010"	6427569	"C10"	"C10..00"	"diabetes mellitus"	"73211009"	"121589010"	32
"197761014"	30078427	"C10F"	"C10F.00"	"type 2 diabetes mellitus"	"44054006"	"197761014"	32
"264681018"	6288011	"66A4"	"66A4.00"	"diabetic on oral treatment"	"170746002"	"264681018"	1
"264682013"	1735607	"66A5"	"66A5.00"	"diabetic on insulin"	"170747006"	"264682013"	1
"264707013"	612711	"66AI"	"66AI.00"	"diabetic - good control"	"170763003"	"264707013"	1
"264716012"	19178	"66AJz"	"66AJz00"	"diabetic - poor control nos"	"268519009"	"401531012"	27
"264717015"	13398	"66AK"	"66AK.00"	"diabetic - cooperative patient"	"170769004"	"264717015"	1
"264718013"	2224	"66AL"	"66AL.00"	"diabetic-uncooperative patient"	"170770003"	"264718013"	1
"264719017"	40793	"66AM"	"66AM.00"	"diabetic - follow-up default"	"170771004"	"264719017"	1
"292466013"	18255	"C100"	"C100.00"	"diabetes mellitus without complication"	"111552007"	"178796018"	32
"292475010"	5284	"C100z"	"C100z00"	"diabetes mellitus nos with no mention of complication"	"111552007"	"178796018"	32
"292479016"	1780	"C101z"	"C101z00"	"diabetes mellitus nos with ketoacidosis"	"420422005"	"2616611010"	32
"292480018"	787	"C102"	"C102.00"	"diabetes mellitus with hyperosmolar coma"	"422126006"	"2618221017"	32
"292483016"	94	"C1021"	"C102100"	"diabetes mellitus, adult onset, with hyperosmolar coma"	"190331003"	"292483016"	32
"292489017"	113	"C103z"	"C103z00"	"diabetes mellitus nos with ketoacidotic coma"	"420422005"	"2616611010"	32
"292496015"	1765	"C104z"	"C104z00"	"diabetes mellitus with nephropathy nos"	"127013003"	"301016"	32
"292503016"	254	"C105z"	"C105z00"	"diabetes mellitus nos with ophthalmic manifestation"	"25093002"	"42062018"	32
"292512019"	1984	"C106z"	"C106z00"	"diabetes mellitus nos with neurological manifestation"	"422088007"	"2618195014"	32
"292523015"	916	"C107z"	"C107z00"	"diabetes mellitus nos with peripheral circulatory disorder"	"421895002"	"2618203015"	32
"292565014"	265	"C108z"	"C108z00"	"diabetes mellitus with multiple complications"	"385041000000108"	"760111000000115"	32
"292576013"	34	"C10F3-1"	"C10F311"	"type ii diabetes mellitus with multiple complications"	"190388001"	"292576013"	32
"292577016"	2963	"C10F3"	"C10F300"	"type 2 diabetes mellitus with multiple complications"	"190388001"	"292577016"	32
"292579018"	1252	"C10F4"	"C10F400"	"type 2 diabetes mellitus with ulcer"	"190389009"	"292579018"	32
"292581016"	32	"C10F4-1"	"C10F411"	"type ii diabetes mellitus with ulcer"	"190389009"	"292581016"	32
"292582011"	8	"C10F5-1"	"C10F511"	"type ii diabetes mellitus with gangrene"	"421631007"	"2618206011"	32
"292583018"	289	"C10F5"	"C10F500"	"type 2 diabetes mellitus with gangrene"	"421631007"	"2618206011"	32
"292589019"	322	"C10F7-1"	"C10F711"	"type ii diabetes mellitus - poor control"	"443694000"	"2921019012"	32
