"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"64668"	"C10FJ11"	164	0	0	0	"insulin treated type ii diabetes mellitus"	"February 2009"
"106061"	"C10FP11"	1	0	0	0	"type ii diabetes mellitus with ketoacidotic coma"	"May 2013"
"43951"	"66AK.00"	1461	0	2	0	"diabetic - cooperative patient"	"February 2009"
"28769"	"66AV.00"	43041	0	26	0	"diabetic on insulin and oral treatment"	"February 2009"
"62674"	"C10FA00"	86	0	1	0	"type 2 diabetes mellitus with mononeuropathy"	"February 2009"
"711"	"C10..00"	1011429	0	42735	4	"diabetes mellitus"	"February 2009"
"61071"	"C109D12"	9	0	1	0	"type 2 diabetes mellitus with hypoglycaemic coma"	"February 2009"
"26054"	"C10FL00"	6483	0	64	3	"type 2 diabetes mellitus with persistent proteinuria"	"February 2009"
"39317"	"C106100"	612	0	0	0	"diabetes mellitus, adult onset, + neurological manifestation"	"February 2009"
"37806"	"C10FF00"	228	0	3	0	"type 2 diabetes mellitus with peripheral angiopathy"	"February 2009"
"108005"	"C109312"	58	0	0	0	"type 2 diabetes mellitus with multiple complications"	"May 2014"
"45491"	"C10z.00"	379	0	5	0	"diabetes mellitus with unspecified complication"	"February 2009"
"98616"	"C10F211"	3	0	0	0	"type ii diabetes mellitus with neurological complications"	"March 2010"
"40401"	"C109500"	27	0	1	0	"non-insulin dependent diabetes mellitus with gangrene"	"February 2009"
"49074"	"C10F400"	189	0	5	0	"type 2 diabetes mellitus with ulcer"	"February 2009"
"65062"	"C103z00"	23	0	0	0	"diabetes mellitus nos with ketoacidotic coma"	"February 2009"
"42505"	"C101z00"	668	0	9	0	"diabetes mellitus nos with ketoacidosis"	"February 2009"
"1407"	"C10FJ00"	20612	0	146	0	"insulin treated type 2 diabetes mellitus"	"February 2009"
"63357"	"C107100"	233	0	1	0	"diabetes mellitus, adult, + peripheral circulatory disorder"	"February 2009"
"35399"	"C107.00"	4128	0	30	0	"diabetes mellitus with peripheral circulatory disorder"	"February 2009"
"18278"	"C109J00"	6094	0	53	0	"insulin treated type 2 diabetes mellitus"	"February 2009"
"758"	"C10F.00"	1623766	0	17641	21	"type 2 diabetes mellitus"	"February 2009"
"36695"	"C10D.00"	413	0	4	0	"diabetes mellitus autosomal dominant type 2"	"February 2009"
"24693"	"C109G00"	12	0	0	0	"non-insulin dependent diabetes mellitus with arthropathy"	"February 2009"
"7795"	"C106.12"	12716	0	252	0	"diabetes mellitus with neuropathy"	"February 2009"
"51756"	"C10FP00"	44	0	1	0	"type 2 diabetes mellitus with ketoacidotic coma"	"February 2009"
"18390"	"C10FM00"	12716	0	68	0	"type 2 diabetes mellitus with persistent microalbuminuria"	"February 2009"
"64357"	"C10zz00"	1419	0	0	0	"diabetes mellitus nos with unspecified complication"	"February 2009"
"95351"	"C10FA11"	40	0	0	0	"type ii diabetes mellitus with mononeuropathy"	"February 2009"
"56268"	"C109D11"	2	0	0	0	"type ii diabetes mellitus with hypoglycaemic coma"	"February 2009"
"64446"	"C108G00"	4	0	1	0	"insulin dependent diab mell with peripheral angiopathy"	"February 2009"
"59725"	"C109111"	6	0	0	0	"type ii diabetes mellitus with ophthalmic complications"	"February 2009"
"34268"	"C10F200"	211	0	2	0	"type 2 diabetes mellitus with neurological complications"	"February 2009"
"34912"	"C109400"	241	0	4	0	"non-insulin dependent diabetes mellitus with ulcer"	"February 2009"
